N,beta1,beta2,beta3,psim,psiy,bias.fspa.beta1.est,bias.2spa.beta1.est,bias.sem.beta1.est,bias.fspa.beta2.est,bias.2spa.beta2.est,bias.sem.beta2.est,bias.fspa.beta3.est,bias.2spa.beta3.est,bias.sem.beta3.est,bias.fspa.std_ind.est,bias.2spa.std_ind.est,bias.sem.std_ind.est,rmse.fspa.beta1.est,rmse.2spa.beta1.est,rmse.sem.beta1.est,rmse.fspa.beta2.est,rmse.2spa.beta2.est,rmse.sem.beta2.est,rmse.fspa.beta3.est,rmse.2spa.beta3.est,rmse.sem.beta3.est,rmse.fspa.std_ind.est,rmse.2spa.std_ind.est,rmse.sem.std_ind.est,coverage1,coverage2,coverage3,coverage4,coverage5,coverage6,coverage7,coverage8,coverage9,coverage10,coverage11,coverage12,power1,power2,power3,power4,power5,power6,power7,power8,power9,power10,power11,power12,REPLICATIONS,SIM_TIME,COMPLETED,SEED,ERRORS,WARNINGS
50,0,0.3,0,0.99498743710662,0.9772410142846032,0.0034915822066277687,0.003931989389196977,0.0011560255583863471,-0.08612356339738876,-0.07144636735684055,-0.25780211798989316,0.004633403346145031,0.006048061140285845,0.00503272146697287,7.669015455712525e-4,0.0011981726828851106,0.0027833885403513105,0.19933289891127282,0.23510977201574673,0.24671496936949594,0.20731631317545707,0.21545026351365543,0.4963478206814118,0.10179408407601476,0.1277835487731974,0.22223953716584746,0.020682985776570167,0.03078245557072005,0.06544991178096687,0.946,0.9448,0.9359999999999999,0.9352,0.9448,0.7356,0.9456,0.944,0.598,0.9948,0.9956,0.9752,0.05400000000000005,0.05520000000000003,0.06400000000000006,0.1904,0.18720000000000003,0.4192,0.054400000000000004,0.05600000000000005,0.402,0.005199999999999982,0.0043999999999999595,0.024800000000000044,2500,8323.426,Sat Jan  1 15:24:34 2022,21390926,16347,18623
100,0,0.3,0,0.99498743710662,0.9772410142846032,-0.0021747015686354116,-0.00258537245972573,-0.003259144476927563,-0.05005624219139158,-0.02771851046386049,-0.07316172339278992,0.003590331366466265,0.004460649606544786,0.004550737786251047,-1.7573416021347485e-4,-2.807183878404384e-4,-2.246709211237942e-4,0.13774120295630465,0.16418772046452704,0.16697081167152436,0.14194640572087625,0.14776683914507768,0.2325778878476372,0.07046460922733701,0.09134365751758748,0.11815358030300122,0.009384019082684505,0.0145511632439365,0.0193556795990106,0.9548,0.9544,0.9532,0.9424,0.9528,0.9052,0.9464,0.9464,0.8268,0.9964,0.9992,0.9964,0.04520000000000002,0.045599999999999974,0.04679999999999995,0.4356,0.43520000000000003,0.5124,0.05359999999999998,0.05359999999999998,0.17320000000000002,0.0036000000000000476,8.000000000000229e-4,0.0036000000000000476,2500,3726.130000000001,Sat Jan  1 16:26:40 2022,21390926,3823,4339
300,0,0.3,0,0.99498743710662,0.9772410142846032,0.001028848627915604,0.0013115102726162103,0.001165037241924666,-0.03991924889188664,-0.013560408517617249,-0.020346344475741573,0.003940008989180038,0.005068953902924019,0.005087889020567652,1.0770271505343333e-4,1.6560528876490227e-4,2.0898834335557272e-4,0.08129500164031071,0.097278296705371,0.098151792093176,0.09018619510800535,0.09003345101397427,0.08743468662325635,0.040245139554666555,0.05299017974248543,0.057224740023252396,0.0031986518283265136,0.00504499901833718,0.0055210105846795554,0.946,0.9464,0.9412,0.9088,0.9424,0.9388,0.954,0.9544,0.9316,0.994,0.9968,0.9992,0.05400000000000005,0.05359999999999998,0.05879999999999996,0.8872,0.8864,0.8944,0.04600000000000004,0.045599999999999974,0.06840000000000002,0.006000000000000005,0.0031999999999999806,8.000000000000229e-4,2500,3084.9930000000004,Sat Jan  1 17:18:05 2022,21390926,316,373
50,0.5,0.3,0,0.9630680142129111,0.9772410142846032,-0.10199679759272806,-0.031450976204531286,-0.026508207662564776,-0.08736347627228652,-0.07345783043046633,-0.2639974588050789,0.005258472004163506,0.00728870878851726,0.008926007933274149,0.0019122417725884792,0.0033069627097727194,0.0047169199559250734,0.21454576556432936,0.22478609082573694,0.2527472853251471,0.21303408416139666,0.22608762117773287,0.4980569368911764,0.10495893503766766,0.13461685247843772,0.22639859073782942,0.04613944239599943,0.0701434365068916,0.12301187542780274,0.9104,0.946,0.9032,0.9312,0.9404,0.7188,0.946,0.9468,0.5972,0.9688,0.9696,0.8131999999999999,0.5519999999999999,0.5524,0.5536,0.18279999999999996,0.17479999999999996,0.41759999999999997,0.05400000000000005,0.053200000000000025,0.40280000000000005,0.031200000000000006,0.030399999999999983,0.18680000000000008,2500,8146.3499999999985,Sat Jan  1 19:33:51 2022,21390926,16142,18590
100,0.5,0.3,0,0.9630680142129111,0.9772410142846032,-0.09225393512176411,-0.014272460034310954,-0.00873770058307111,-0.05347109379479796,-0.03249264095375903,-0.07758382331905378,0.005773532162724603,0.007760551264369406,0.009028068614102021,0.002115837683047513,0.0033484054904208255,0.004518468031007266,0.1597930053090603,0.1561024552264261,0.1633650091745683,0.1479192229437983,0.15706187919949588,0.23612561269435914,0.07298806955492496,0.0961995676440378,0.12415321970571877,0.0317043949952405,0.050026962177282454,0.06386185847569592,0.8912,0.9532,0.9444,0.9384,0.9508,0.8984,0.9452,0.9456,0.8228,0.9504,0.9508,0.8564,0.8444,0.8444,0.862,0.41200000000000003,0.3892,0.47,0.05479999999999996,0.054400000000000004,0.17720000000000002,0.04959999999999998,0.04920000000000002,0.14359999999999995,2500,3697.5430000000015,Sat Jan  1 20:35:29 2022,21390926,3688,4356
300,0.5,0.3,0,0.9630680142129111,0.9772410142846032,-0.08553353121573566,-0.004292059396328745,-8.794079036559947e-4,-0.041740282486866745,-0.016367932523242323,-0.024260031285870204,0.0041636749012884,0.005522977790916136,0.005865686256391185,0.0018286033521926113,0.0028832519989476506,0.003174921453983612,0.1153671498014595,0.09323967018534113,0.0927543628245131,0.09259866844139043,0.0944521769004284,0.09137548092135721,0.041236645498544694,0.05540884544818054,0.060256939403046016,0.017495351611302223,0.028124642630698124,0.030168555016245806,0.7936,0.9432,0.94,0.91,0.9376,0.9352,0.9532,0.9532,0.9316,0.9536,0.9532,0.9319999999999999,1,1,1,0.8724,0.8572,0.8612000000000001,0.04679999999999995,0.04679999999999995,0.06840000000000002,0.0464,0.04679999999999995,0.06800000000000006,2500,3264.8459999999977,Sat Jan  1 21:29:54 2022,21390926,313,375
50,0,0.3,0.4,0.99498743710662,0.8848728722251575,-0.00986937175534264,-0.011673320335516206,-0.009736654477131205,-0.07765952336816515,-0.05897671092321106,-0.2793144624720958,-0.10753662691772746,-0.0362587641709288,0.058031341453645684,-0.0033109620398944577,-0.00461012240949582,-0.005101719185061348,0.19555112084158538,0.23004765255357226,0.23581351127889477,0.19987047904215202,0.20993056226068674,0.547580983714415,0.14147112131226328,0.12201860181460003,0.22412355940026163,0.059415660630875985,0.08754381983297926,0.1263683898355382,0.9488,0.9496,0.9364,0.9259999999999999,0.9408,0.6759999999999999,0.774,0.9332,0.7328,0.954,0.956,0.9444,0.05120000000000002,0.0504,0.06359999999999999,0.22239999999999993,0.22039999999999993,0.49,0.856,0.8548,0.9568,0.04600000000000004,0.04400000000000004,0.05559999999999998,2500,10235.752,Sun Jan  2 00:20:30 2022,21390926,20943,19782
100,0,0.3,0.4,0.99498743710662,0.8848728722251575,-0.0043425640627294156,-0.005140691688215152,-0.005263731074699992,-0.05010241261093826,-0.02538500182075964,-0.06790879690455623,-0.10840809292774407,-0.024326002278486743,0.04873082070183114,-0.0014718450530090887,-0.0019158463605321962,-0.0019064982763636097,0.14248550623838935,0.16988043884236817,0.17196804384601358,0.1404656511700226,0.14715234161523036,0.2729159785030727,0.12540631886590276,0.08675912616783538,0.13636625370450225,0.04234852951190474,0.06521048886459686,0.08017729377098397,0.9476,0.9488,0.9376,0.9304,0.9456,0.8752,0.5936,0.9388,0.8568,0.9468,0.9492,0.9392,0.0524,0.05120000000000002,0.06240000000000001,0.4748,0.4648,0.5552,0.9936,0.9916,0.9968,0.053200000000000025,0.050799999999999956,0.060799999999999965,2500,4561.205999999998,Sun Jan  2 01:36:31 2022,21390926,4986,4902
300,0,0.3,0.4,0.99498743710662,0.8848728722251575,0.002724043557913787,0.0032277182147948317,0.00370411936281046,-0.03851783935894956,-0.009567979359355501,1.7162492701719133e-4,-0.10705772626880693,-0.012295364184511279,0.026997625133932404,7.919174170785449e-4,0.0013382737419341728,0.0016648095403638515,0.08225787619718597,0.0983600007587345,0.09952892318726923,0.08573504983571159,0.08636348264892453,0.08909932050390731,0.11329774073028877,0.05175331398123486,0.06932578844646232,0.02440497591225594,0.03863703661687082,0.0432980740149493,0.9432,0.9436,0.9448,0.9164,0.9392,0.9324,0.15159999999999996,0.9332,0.916,0.9432,0.9436,0.944,0.05679999999999996,0.056400000000000006,0.05520000000000003,0.9296,0.9248,0.932,1,1,1,0.05679999999999996,0.056400000000000006,0.05600000000000005,2500,3472.1830000000045,Sun Jan  2 02:34:23 2022,21390926,519,458
50,0.5,0.3,0.4,0.9630680142129111,0.8677557259966655,-0.1088713180194098,-0.03954958162251878,-0.03715060713603227,-0.04833396475837384,-0.07318134247986992,-0.33010487739438144,-0.11425582638143902,-0.03623233319598787,0.07235642192226242,-0.08901513952529053,-0.0331046164558328,0.024632441594642285,0.21615232529910297,0.22441122471939035,0.24214187228434084,0.18617207361197036,0.21709119662281162,0.55289816290872,0.14929329149862663,0.1308761608045913,0.25300039880044295,0.11115334702867433,0.10809821714369026,0.18191967242586937,0.9052,0.9452,0.9156,0.9528,0.9468,0.6863999999999999,0.7492,0.9256,0.7112,0.76,0.9372,0.8131999999999999,0.5176,0.5184,0.5488,0.26360000000000006,0.1856,0.3952,0.8364,0.8292,0.9420000000000001,0.43399999999999994,0.4256,0.5048,2500,20374.490000000005,Sun Jan  2 08:13:57 2022,21390926,47989,20548
